Replicate Type Mean_Diff SD_Diff Min_Diff Max_Diff
Biological Differential 0.105742391640972 0.0487894428206004 0.0256410256410256 0.246913580246914
Biological Merge-Split 0.0713409102938679 0.0207558004006876 0.0246913580246914 0.10655737704918
Biological Shifted 0.0783972695068335 0.0486371289920243 0.02 0.215827338129496
Biological Strength Change 0.0990991397604533 0.0337562028193549 0.0594594594594595 0.190217391304348
Technical Differential 0.0777209147279924 0.0359491073629956 0.032 0.185185185185185
Technical Merge-Split 0.05633599811065 0.03125588634148 0.0151515151515152 0.142857142857143
Technical Shifted 0.0671535874584519 0.0338362688069517 0.0204081632653061 0.142857142857143
Technical Strength Change 0.0911960266316048 0.0519650984943894 0.0285714285714286 0.277777777777778
